frame_idx,is_cond_frame,mean_ssim,std_ssim,mean_psnr,std_psnr,num_samples
0,True,1.0,0.0,inf,nan,1112
1,True,1.0,0.0,inf,nan,1112
2,False,0.55889165,0.20860039,17.497288220493008,5.67408552667462,1112
3,False,0.5033476,0.20283467,14.905563722331634,5.11906897007046,1112
4,False,0.45064217,0.1923339,12.889977827571624,4.7540222575661275,1112
5,False,0.4193045,0.183607,11.629950774723476,4.540822883933887,1112
6,False,0.40436742,0.17927796,10.962789584487842,4.430983893155805,1112
7,False,0.3906692,0.17688978,10.525274281350164,4.375220368279479,1112
8,False,0.38072947,0.17857313,10.26903572626366,4.383608497560653,1112
9,False,0.37399524,0.18280292,10.116044077707919,4.431451702943176,1112
10,False,0.36666507,0.18968248,10.03729685254906,4.536491601342058,1112
11,False,0.34618327,0.19286565,9.699313280779343,4.5313420797308535,1112
